run_id,task_type,dataset_id,split_method,fold,repeat_id,metric_name,single_model_name,ensemble_model_name,single_metric_value,ensemble_metric_value,difference_definition,difference_value,ensemble_better,valid_pair,notes
20260427T171449,regression,insurance,repeated_kfold,3,1,r2,decision_tree_regressor,gradient_boosting_regressor,0.838832552043821,0.865827525808806,ensemble_minus_single_r2,0.0269949737649856,True,True,
20260427T171449,regression,insurance,repeated_kfold,4,1,rmse,linear_regression,gradient_boosting_regressor,5852.10388150473,4227.88239833778,single_minus_ensemble_rmse,1624.22148316695,True,True,
20260427T171449,regression,insurance,repeated_kfold,4,1,mae,linear_regression,gradient_boosting_regressor,4173.90832324986,2398.49426582904,single_minus_ensemble_mae,1775.41405742081,True,True,
20260427T171449,regression,insurance,repeated_kfold,4,1,r2,linear_regression,gradient_boosting_regressor,0.749782366407324,0.869401058756193,ensemble_minus_single_r2,0.119618692348869,True,True,
20260427T171449,regression,insurance,repeated_kfold,4,1,rmse,decision_tree_regressor,gradient_boosting_regressor,4796.53443737836,4227.88239833778,single_minus_ensemble_rmse,568.652039040587,True,True,
20260427T171449,regression,insurance,repeated_kfold,4,1,mae,decision_tree_regressor,gradient_boosting_regressor,3161.67125505567,2398.49426582904,single_minus_ensemble_mae,763.176989226623,True,True,
20260427T171449,regression,insurance,repeated_kfold,4,1,r2,decision_tree_regressor,gradient_boosting_regressor,0.831907245946616,0.869401058756193,ensemble_minus_single_r2,0.0374938128095774,True,True,
20260427T171449,regression,insurance,repeated_kfold,5,1,rmse,linear_regression,gradient_boosting_regressor,5838.56941053958,4443.297190384,single_minus_ensemble_rmse,1395.27222015558,True,True,
20260427T171449,regression,insurance,repeated_kfold,5,1,mae,linear_regression,gradient_boosting_regressor,4028.99112809595,2494.86030624486,single_minus_ensemble_mae,1534.13082185109,True,True,
20260427T171449,regression,insurance,repeated_kfold,5,1,r2,linear_regression,gradient_boosting_regressor,0.728419195868998,0.842711526056582,ensemble_minus_single_r2,0.114292330187584,True,True,
20260427T171449,regression,insurance,repeated_kfold,5,1,rmse,decision_tree_regressor,gradient_boosting_regressor,4950.25538932144,4443.297190384,single_minus_ensemble_rmse,506.958198937444,True,True,
20260427T171449,regression,insurance,repeated_kfold,5,1,mae,decision_tree_regressor,gradient_boosting_regressor,3332.62445424697,2494.86030624486,single_minus_ensemble_mae,837.764148002107,True,True,
20260427T171449,regression,insurance,repeated_kfold,5,1,r2,decision_tree_regressor,gradient_boosting_regressor,0.804772323643731,0.842711526056582,ensemble_minus_single_r2,0.0379392024128516,True,True,
